R_kpc,n,mean_vphi_kms,sigma_R_kms,sigma_phi_kms,sigma_z_kms,mean_vr_kms,mean_vz_kms,dln_sigmaR2_dR_per_kpc,hnu_kpc,dln_nusigR2_dlnR,Vc_jeans_kms,Vc_eilers_kms,Vc_minus_eilers_kms,n_stars,Rbirth_median_kpc,Rguide_median_kpc,deltaR_guide_median_kpc,abs_deltaR_guide_median_kpc,outward_guide_fraction_gt0p5,inward_guide_fraction_gt0p5,outward_guide_fraction_gt1,inward_guide_fraction_gt1,inner_born_fraction_lt6,guide_history_distance_time_median,epicycle_offset_median_kpc,age_median_gyr,Vbar_mcmillan17_kms,chi_jeans,gres_jeans_kms2perkpc
5.0,155,187.52264220004852,81.80292001063857,50.56553834430395,54.98458648132316,-2.5674997020941355,0.5242295167092563,-0.3799534175794541,3.5,-3.328338516468699,230.8726902858521,234.3074,-3.434709714147914,2661,3.4648506872993203,4.50574753545178,1.0136775268589182,1.5267747113723231,0.5967681322810974,0.229988726042841,0.5043216835776024,0.1664787673806839,0.8880120255543029,10.353497540361332,0.4976991076296402,7.72,185.6118180253897,0.5471551887987103,3770.0904258273195
5.5,214,187.11143389037136,69.13237074604166,44.710110346952604,55.86422582721133,-3.2418075130390998,1.0210293247185354,-0.3799534175794541,3.5,-3.661172368115569,222.99816816006063,233.4574,-10.459231839939378,3479,3.619320529908224,5.1557354453830255,1.4048652626315308,1.7779821844958068,0.6924403564242598,0.1747628628916355,0.5924116125323369,0.1195745903995401,0.8764012647312446,11.20981173680639,0.3490301167532603,7.28,185.38222216590256,0.44699297804879934,2793.020855922658
6.0,227,192.5241758864372,68.76850012062808,44.465328673656735,55.49485360462521,2.5705832663555146,-1.3362145274787767,-0.3799534175794541,3.5,-3.994006219762439,230.65493351670847,232.6074,-1.9524664832915448,4663,3.701882737853024,5.730030041877224,1.869128603470416,2.1120842287146555,0.7488741153763672,0.1336049753377653,0.6620201586961184,0.0997212095217671,0.8563156766030452,13.705435503449142,0.2940633823014513,7.14,184.6548424366739,0.5602855774755496,3184.047920047389
6.5,168,188.44836187842594,65.58546932345968,45.5311308251621,51.722751394274084,4.381771061670983,2.280861965566583,-0.3799534175794541,3.5,-4.3268400714093085,227.8071943348572,231.7574,-3.9502056651427893,4974,3.815746898363518,6.251449656269828,2.2628340798076936,2.4254719975314805,0.7784479292320065,0.1164053075995174,0.7052673904302372,0.0846401286690792,0.8092078809811017,14.603708916479365,0.228168320894941,6.69,183.46774927629227,0.5417551373901178,2805.4927332632237
7.0,87,180.5280074060687,62.009274086705744,45.92443633951945,45.97544145029651,-1.738386359628412,3.0868614332073903,-0.3799534175794541,3.5,-4.659673923056179,220.84250216529026,230.9074,-10.06489783470974,6570,4.26768396103652,6.763333121463399,2.314407811079548,2.461554397131388,0.7715372907153729,0.1299847792998477,0.7062404870624048,0.0905631659056316,0.7275494672754946,14.158172436357628,0.2576409915048234,6.19,181.8778898422391,0.474366669843237,2241.691992737224
7.5,85,184.76979126891703,53.11453763396167,45.286579418267706,41.87676098764403,15.70526204076121,-11.769180247282636,-0.3799534175794541,3.5,-4.992507774703048,217.8399177172753,230.0574,-12.217482282724689,8733,4.384742843411562,7.153768914616156,2.5527052164109643,2.72487032359118,0.7831214931867628,0.1228672850108782,0.721630596587656,0.0887438451849307,0.7058284667353716,17.500720105604604,0.3510876601639419,6.95,179.9525725304046,0.4654088482384001,2009.5068521011665
8.0,242,214.95454870014495,25.504073023856574,33.16199475647952,21.299146515029765,1.4208810397027316,2.856324936331383,-0.3799534175794541,3.5,-5.3253416263499185,223.87190052707012,229.2074,-5.335499472929882,26902,5.121944967594048,7.757283976790966,2.407887946235386,2.634256410727396,0.7490892870418556,0.1488736896884989,0.6880157609099695,0.1083190840829678,0.6009962084603375,15.3165838928891,0.2563607096836113,6.27,177.75907565631945,0.5861184091390849,2315.0423584266596
8.5,322,227.44198529568155,24.74295696973494,14.858173657163663,11.613682794562992,1.340182240490893,-5.3074890993240915,-0.3799534175794541,3.5,-5.658175477996789,234.0991710093505,228.3574,5.741771009350487,16119,5.618480200916696,8.173853517310391,2.380298872238112,2.6170783285644754,0.7530864197530864,0.1431850611080092,0.6912339475153545,0.1009367826788262,0.5458775358272846,14.26633093287293,0.31760075258601,5.96,175.35996517009454,0.782127822612558,2829.5652332715713
9.0,200,196.9633837940467,44.866943684671924,45.46150631765641,29.580339140805897,4.126031713470327,-1.0782773167611752,-0.3799534175794541,3.5,-5.991009329643658,225.6289823749132,227.5074,-1.8784176250867972,15478,6.392451677402619,8.623889406169674,2.1725288684562782,2.433647586295724,0.7325235818581212,0.1499547745186716,0.6618426153249773,0.1049877245122108,0.4568419692466727,11.736916341829517,0.3708008134622718,5.32,172.81244205921985,0.7046677876921557,2338.2552841186307
9.5,159,198.39522879914833,43.81935478017158,41.591928026450134,23.70017240378325,1.1373596882624346,-2.173006247540179,-0.3799534175794541,3.5,-6.3238431812905285,226.52385626515277,226.6574,-0.1335437348472226,13550,7.14150137538411,9.037806773768176,1.891863505836731,2.2024356586482607,0.7005166051660516,0.1614760147601476,0.6264944649446494,0.111660516605166,0.3763837638376384,9.566451475071238,0.4510203654009661,4.87,170.166340367629,0.7720687816943884,2353.3130592761922
